,HBMVEC_Agg24_1,HBMVEC_Agg24_2,HBMVEC_Agg24_3,HBMVEC_Agg24_4,HBMVEC_Agg24_5,HBMVEC_Agg24_6,HBMVEC_Agg72_1,HBMVEC_Agg72_2,HBMVEC_Agg72_3,HBMVEC_Agg72_4,HBMVEC_Agg72_5,HBMVEC_Agg72_6,HBMVEC_Con24_1,HBMVEC_Con24_2,HBMVEC_Con24_3,HBMVEC_Con24_4,HBMVEC_Con24_5,HBMVEC_Con24_6,HBMVEC_Con72_1,HBMVEC_Con72_2,HBMVEC_Con72_3,HBMVEC_Con72_4,HBMVEC_Con72_5,HBMVEC_Con72_6,HBMVEC_Mono24_1,HBMVEC_Mono24_2,HBMVEC_Mono24_3,HBMVEC_Mono24_4,HBMVEC_Mono24_5,HBMVEC_Mono24_6,HBMVEC_Mono72_1,HBMVEC_Mono72_2,HBMVEC_Mono72_3,HBMVEC_Mono72_4,HBMVEC_Mono72_5,HBMVEC_Mono72_6
ENSG00000000003,12.89831403,12.60539659,12.87604132,13.02258801,13.03027698,13.04205208,12.29374673,12.84609503,12.90207733,12.81238422,12.77496096,12.58358096,12.78111203,13.03551478,13.16001318,12.74362114,12.71532024,13.05715276,13.02640457,13.24240625,13.06070236,13.10208158,13.09490939,13.13862903,13.05251348,13.16867911,12.9748276,12.90901819,12.90499714,12.91323775,12.99068468,13.0147244,13.17570722,12.98390794,13.02230362,13.0800636
ENSG00000000460,9.615579092,9.45986335,9.692405008,9.730192597,9.580806729,9.756893103,9.404056328,9.135138121,9.170993633,9.336582761,9.205468745,9.319066049,9.932219131,10.08917846,10.17352452,10.0988278,9.993866643,10.01233291,9.178432897,9.347071077,9.21945714,9.355045174,9.235280604,9.233013437,10.00077416,9.898173493,9.957949552,10.07272145,9.848288235,9.882106965,9.208420284,9.358473963,9.2325508,9.342319981,9.220366935,9.216310697
ENSG00000001617,12.64207097,12.94765399,12.71127713,12.57564247,12.66316347,12.54883835,12.99519676,12.67438255,12.80809714,12.76978894,12.70489945,12.95087421,13.15777277,12.99697818,12.94828976,13.32944449,13.15223482,13.12036538,13.12199507,13.0003615,13.13188346,13.09990827,13.04100701,13.08173131,12.97660296,12.9255901,12.9644351,12.96887994,13.03211826,13.05332792,13.07614076,12.9829031,12.89350642,13.18489341,12.91530533,13.03643877
ENSG00000002587,6.713917334,6.778042721,6.681668771,6.839931362,6.917857575,6.739460147,6.450470507,6.871548,6.591532776,6.815947076,6.851180473,6.690751771,6.911727146,6.977409438,7.163418786,6.894791434,6.87665922,7.252869282,7.142123518,7.13961016,6.916389536,7.225590337,7.24823412,7.413270783,6.787005122,7.108168923,6.837431177,6.604973077,6.90260987,6.985912982,7.175646891,7.03905287,7.071700705,7.105589404,6.767850397,7.167595807
ENSG00000003436,15.75996642,15.52418486,15.75678283,15.58809925,15.66573972,15.71732354,15.730404,15.89739036,15.84930103,15.74608772,15.89872357,15.78493968,15.54359898,15.80715219,16.08715087,15.96296527,16.03963484,15.77132255,16.31344178,16.36202566,16.06320574,16.33958088,16.30762531,16.28448615,15.98566892,15.86376435,15.87634968,16.06308763,15.86363582,15.79286262,16.19834611,16.12728692,16.31138931,16.21996928,16.26695996,16.13096156
ENSG00000003989,14.78716004,14.64975119,14.86269025,14.87285476,14.82834612,14.85518605,14.47924044,14.59978377,14.61362095,14.71698345,14.60781377,14.64385434,11.36854458,11.57094498,11.6171564,11.70689661,11.68940022,11.46902723,11.64351543,11.54156222,11.51834252,11.76456044,11.61213983,11.50224403,11.80556655,11.83204274,11.90649645,11.80238747,11.77936085,11.675904,11.77833814,11.82396955,11.85775151,11.75495129,11.84617384,11.78000544
ENSG00000004799,9.765975355,9.673963572,9.604437806,9.538578591,9.621958758,9.780848699,9.934643285,10.37598379,10.29957573,10.15465745,10.38521652,10.17324051,10.00846816,10.40258777,10.55603499,10.47999671,10.403436,10.39761747,10.98345421,11.06640734,10.92592204,10.88980202,11.07435581,10.96245065,10.44416057,10.42902926,10.41332239,10.53932979,10.45519798,10.42132563,10.8046241,10.65863223,10.84355141,10.68434555,10.91102675,10.77725197
ENSG00000005108,12.04976479,11.98442968,12.050235,11.99147517,12.08451053,12.06461955,12.05291672,12.09464454,11.87758472,11.9993471,12.07174045,12.00917122,12.43191705,12.45736375,12.54140093,12.33344849,12.37546833,12.36287848,12.4647302,12.62333159,12.5559866,12.50413306,12.50679686,12.51374124,12.33857636,12.34000146,12.47627761,12.49448543,12.38704001,12.44929234,12.48497555,12.58442574,12.43893784,12.37107272,12.43964545,12.36436097
ENSG00000005187,8.952420255,9.11734329,9.207038551,9.128701885,9.304486785,9.185915608,8.290227567,8.513942442,7.958337393,8.515188413,8.325654174,8.539712149,9.139835271,9.928067207,9.642789331,9.73913425,9.898153206,9.809351509,8.536264911,8.790707499,8.814555572,8.852596139,8.886460608,8.63572299,9.68469197,9.579232988,9.720863584,9.533898027,9.719264176,9.700930595,8.317016548,8.76704655,8.342882761,8.407075896,8.615481701,8.076152709
ENSG00000005189,8.384882639,8.249405547,8.077347303,8.41224361,8.420199463,8.520427083,8.459633283,8.825431402,8.699999295,8.81263668,8.635308942,8.480712991,8.647993829,8.606876194,8.530953002,8.559983454,8.838698517,8.715675932,8.588375568,8.512929603,8.622798567,8.613548231,8.484297505,8.560809921,8.62972698,8.530801021,8.504643566,8.234355652,8.607791086,8.53991941,8.54591229,8.578874684,8.643410292,8.452037022,8.588770894,8.743499402
ENSG00000005448,10.14831659,10.23107524,9.990406569,10.26216319,10.36405569,10.21870845,10.11891233,10.41856015,10.41349242,10.2876921,10.50011988,10.25584585,10.47611726,10.31949283,10.26634974,10.11806757,10.15123773,10.33185914,10.52780164,10.78321533,10.73538571,10.5676714,10.67106811,10.78552127,10.03553104,10.17243065,10.30755118,10.03585885,10.17421086,10.21089904,10.53814476,10.72261587,10.57867347,10.45784131,10.54691895,10.72629848
