,gene_name,baseMean_Mono_h24,baseMean_Control_h24,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Description
ENSG00000000003,TSPAN6,8257.990467,7761.014022,8007.747755,0.089462292,0.119762068,0.747000226,0.455063425,0.928682335,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000460,C1orf112,1127.45912,1257.307028,805.9368267,-0.157859336,0.088029383,-1.793257327,0.072931787,0.884961886,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000001617,SEMA3F,8216.453364,9404.481179,8026.880191,-0.194809201,0.093172306,-2.090848772,0.036541622,0.789645965,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000002587,HS3ST1,112.9615359,139.7933703,126.8273044,-0.308833677,0.2060924,-1.498520454,0.133998083,0.897476576,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000003436,TFPI,60763.88395,59115.38224,65344.45843,0.039663608,0.095697194,0.414469922,0.67852999,0.963884915,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000003989,SLC7A2,2605.752937,2018.631819,15957.79666,0.367965951,0.082447516,4.46303256,8.08078E-06,0.004988971,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]
ENSG00000004799,PDK4,1418.692694,1328.113136,1481.553894,0.094436649,0.107029198,0.882344735,0.377590412,0.922826561,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000005108,THSD7A,5643.660084,5661.875294,5180.497729,-0.004636432,0.063915633,-0.072539871,0.942172277,0.996698939,thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]
ENSG00000005187,ACSM3,1023.687689,1090.709434,603.032548,-0.091788807,0.171406398,-0.535503971,0.592301412,0.951224269,acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]
ENSG00000005189,REXO5,359.6373356,423.113692,380.2517956,-0.234164823,0.129848782,-1.803365565,0.071330822,0.882996273,RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]
ENSG00000005448,WDR54,1059.585113,1207.757377,1359.36249,-0.188294471,0.106747895,-1.763917407,0.077745886,0.885353177,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000005469,CROT,1726.308835,1795.235371,1985.674759,-0.056712798,0.092919747,-0.610341724,0.541635463,0.943353479,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000006118,TMEM132A,9508.846765,10475.41937,13131.45427,-0.139575355,0.118631836,-1.176542146,0.239378301,0.897845689,transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENSG00000006453,BAIAP2L1,113.325539,118.1946284,232.899595,-0.063586352,0.167990703,-0.378511137,0.705050922,0.967452442,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]
ENSG00000006638,TBXA2R,96.66717035,100.7787195,114.3398716,-0.059347532,0.243465374,-0.243761695,0.807415388,0.979921856,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
ENSG00000007129,CEACAM21,166.1280029,192.9470517,145.3372382,-0.213505769,0.181295495,-1.177667258,0.238929285,0.897845689,CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]
ENSG00000007908,SELE,16.36125606,10.77277642,3179.036219,0.58670425,0.4521583,1.297563818,0.194437262,0.897476576,selectin E [Source:HGNC Symbol;Acc:HGNC:10718]
ENSG00000007968,E2F2,218.8373252,286.9599159,125.2641104,-0.390479348,0.231156453,-1.689242691,0.091172931,0.894474194,E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000008277,ADAM22,229.9831778,225.127485,181.6296642,0.029314394,0.192923385,0.151948369,0.879227659,0.990716633,ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]
ENSG00000008517,IL32,2079.385848,1152.385536,5112.103152,0.852331472,0.082204922,10.36837519,3.45347E-25,1.30219E-21,interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
ENSG00000010292,NCAPD2,7990.247511,9294.653272,6147.539031,-0.218131105,0.08066206,-2.704259025,0.00684569,0.463285929,non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]
ENSG00000010319,SEMA3G,793.1418892,773.2931276,667.3245351,0.037527161,0.153626595,0.244275156,0.807017723,0.979767586,semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000010327,STAB1,32379.9315,35624.7469,33169.30245,-0.137760277,0.122956064,-1.120402461,0.262542297,0.904063171,stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
ENSG00000010438,PRSS3,3573.720364,3773.014803,3681.553546,-0.078240441,0.122221618,-0.640152232,0.522073634,0.939183647,serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]
ENSG00000010671,BTK,199.1721464,201.5428204,110.895076,-0.017795768,0.289675493,-0.06143346,0.951014005,0.996893295,Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]
ENSG00000010818,HIVEP2,1978.026112,1918.066951,2639.742595,0.044407619,0.08713472,0.509643218,0.61030144,0.955190907,HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]
ENSG00000011028,MRC2,4708.632365,5215.929065,7500.389402,-0.147519903,0.120231798,-1.226962464,0.219836699,0.897476576,mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]
ENSG00000011132,APBA3,1237.558168,1202.351299,1661.982403,0.042306904,0.125099482,0.338186084,0.735222962,0.969760425,amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]
ENSG00000011422,PLAUR,9265.824342,9478.890972,8981.813571,-0.032723857,0.09011708,-0.363126031,0.71651074,0.967874951,"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"
ENSG00000011426,ANLN,14334.97383,16361.77837,8500.339052,-0.190804498,0.107819104,-1.769672451,0.076781722,0.885353177,anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]
ENSG00000011523,CEP68,5247.455864,5516.579548,4088.66201,-0.072102808,0.06317453,-1.14132718,0.253733795,0.903133478,centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]
ENSG00000012048,BRCA1,2952.114603,3425.529359,1935.668565,-0.214779348,0.106905365,-2.00906051,0.044530717,0.820687941,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]
ENSG00000012211,PRICKLE3,319.9522779,309.5250566,399.3417002,0.047706364,0.154521584,0.30873592,0.757522417,0.973402445,prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]
ENSG00000013293,SLC7A14,217.1220022,216.0707672,919.1240713,0.008332191,0.118234403,0.070471799,0.943818146,0.996745636,solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]
ENSG00000013297,CLDN11,19846.87882,18867.65685,33016.9281,0.072960098,0.071959276,1.013908177,0.310626569,0.908690595,claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]
ENSG00000013375,PGM3,15196.06618,14118.36045,17613.02933,0.106082993,0.08318411,1.275279543,0.202210316,0.897476576,phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]
ENSG00000013573,DDX11,1071.700853,1270.92422,902.681504,-0.244988996,0.113647858,-2.155685126,0.03110826,0.739618063,DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]
ENSG00000013588,GPRC5A,1260.979231,1304.63907,1495.779816,-0.049258891,0.137971914,-0.35702115,0.721075973,0.968799977,G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]
ENSG00000013810,TACC3,3408.146767,4393.846824,2353.122593,-0.366427082,0.138925503,-2.637579664,0.008350001,0.486466034,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]
ENSG00000015133,CCDC88C,2263.359779,2618.934284,2061.066378,-0.210326462,0.132008684,-1.593277467,0.111097959,0.897476576,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
ENSG00000018699,TTC27,2954.783352,2619.956239,2813.83275,0.173387789,0.060965964,2.844009635,0.00445497,0.386493282,tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]
ENSG00000020577,SAMD4A,11544.55227,10686.13479,18772.18455,0.111520669,0.058060199,1.920776558,0.054759883,0.848351183,sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]
ENSG00000023171,GRAMD1B,478.4253988,577.5766543,395.9555608,-0.271411463,0.160419381,-1.691886982,0.090667524,0.894474194,GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]
ENSG00000023445,BIRC3,270.9818559,41.39830176,2502.119068,2.725001973,0.171601917,15.8797875,8.74742E-57,1.97902E-52,baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]
ENSG00000024526,DEPDC1,3349.458468,3424.047568,1908.543696,-0.031949988,0.183259316,-0.174343048,0.86159587,0.988676454,DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]
ENSG00000025708,TYMP,53.73455683,58.11843652,265.7642161,-0.11440509,0.222302783,-0.514636337,0.606807168,0.954648604,thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]
ENSG00000026508,CD44,36198.75435,33727.15121,38804.25768,0.102012756,0.126842308,0.80424866,0.421253382,0.925889643,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
ENSG00000026559,KCNG1,705.3338743,741.1679787,991.0828514,-0.070114669,0.118614414,-0.591114237,0.554443881,0.943918908,potassium voltage-gated channel modifier subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:6248]
ENSG00000026950,BTN3A1,1261.72592,1180.661258,1808.162691,0.096261996,0.065807454,1.462782565,0.143526885,0.897476576,butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]
ENSG00000027075,PRKCH,14008.96418,14873.47926,14504.75117,-0.086285873,0.048451913,-1.780855836,0.074936005,0.884961886,protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]
ENSG00000027697,IFNGR1,4590.518698,3963.415026,5773.654658,0.211716621,0.107933934,1.961539003,0.04981618,0.835332502,interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]
ENSG00000028277,POU2F2,142.1595179,93.78191185,562.6261254,0.599608051,0.22407184,2.67596344,0.007451477,0.471692323,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]
ENSG00000029153,ARNTL2,14895.23727,13813.0544,15542.75679,0.108772045,0.061853861,1.758532833,0.07865689,0.885874799,aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]
ENSG00000030582,GRN,36269.67562,42088.99744,46502.2744,-0.214652203,0.107414926,-1.99834613,0.045679148,0.826644745,granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]
ENSG00000033627,ATP6V0A1,3097.269436,3137.310396,2979.607757,-0.01854553,0.124936003,-0.148440238,0.881995347,0.991138245,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]
ENSG00000034152,MAP2K3,1964.047869,1966.225839,1792.824926,-0.001559907,0.142695689,-0.010931702,0.991277938,0.999429268,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
ENSG00000035499,DEPDC1B,925.1457722,1146.402035,572.5607931,-0.309374977,0.109886519,-2.815404299,0.00487159,0.40371744,DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]
ENSG00000038295,TLL1,977.2269406,957.3895324,1001.716964,0.029110121,0.160845142,0.180982282,0.856381483,0.987257578,tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:11843]
ENSG00000038382,TRIO,50570.05319,48298.13624,65398.02825,0.066324521,0.08174115,0.811396963,0.417137743,0.925889643,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
ENSG00000038427,VCAN,10691.12647,11265.19915,9664.865709,-0.075534923,0.086480814,-0.87342984,0.382428832,0.925183123,versican [Source:HGNC Symbol;Acc:HGNC:2464]
ENSG00000038945,MSR1,190.9898541,143.8500665,257.663208,0.408365048,0.144138686,2.833139795,0.004609322,0.395004957,macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]
ENSG00000039139,DNAH5,778.2986553,632.6195635,1362.222785,0.300505402,0.083087226,3.616746111,0.00029833,0.085435573,dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]
ENSG00000041982,TNC,178.0093208,178.8370863,892.2444096,-0.005471292,0.158834583,-0.034446477,0.972521122,0.997563975,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]
ENSG00000042286,AIFM2,768.6468967,764.102237,763.1780916,0.008185014,0.101707708,0.080475844,0.935858807,0.996162465,apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]
ENSG00000042832,TG,254.95822,275.7982085,195.046017,-0.113005109,0.218993119,-0.516021278,0.605839548,0.954411736,thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]
ENSG00000044446,PHKA2,1321.565508,1413.059016,1260.10655,-0.096394055,0.082760715,-1.164732014,0.244127486,0.900313535,phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]
ENSG00000044574,HSPA5,32498.31883,35028.70337,35140.13481,-0.108170497,0.128227594,-0.843582052,0.398902997,0.925889643,heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]
ENSG00000047346,FAM214A,4790.288477,4249.158251,3915.988651,0.172789607,0.137468449,1.256940109,0.208775323,0.897476576,family with sequence similarity 214 member A [Source:HGNC Symbol;Acc:HGNC:25609]
ENSG00000047617,ANO2,2374.446487,2476.41409,2025.952571,-0.060408455,0.0969685,-0.622969885,0.533304312,0.942590877,anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183]
ENSG00000047634,SCML1,901.9002206,876.2738307,881.8718112,0.040804738,0.155472305,0.262456634,0.792969415,0.97807397,Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]
ENSG00000048052,HDAC9,1879.576484,626.7980587,2206.676734,1.583503265,0.117038727,13.52973756,1.04396E-41,7.87283E-38,histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]
ENSG00000049130,KITLG,10069.79908,7681.023299,9647.825512,0.390562288,0.137942052,2.831350427,0.004635191,0.395722848,KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]
